Title	Edition	Real Edition
GURPS Monster Hunters 1: Champions	GURPS 4e	4
GURPS Monster Hunters 2: The Mission	GURPS 4e	4
GURPS Monster Hunters 3: The Enemy	GURPS 4e	4
GURPS Monster Hunters 4: Sidekicks	GURPS 4e	4
GURPS Monster Hunters 5: Applied Xenology	GURPS 4e	4
GURPS Monster Hunters 6: Holy Hunters	GURPS 4e	4
GURPS Monster Hunters Power-Ups 1	GURPS 4e	4
GURPS Monsters	GURPS	3
GURPS Mysteries	GURPS 4e	4
GURPS Myth	GURPS	3
GURPS New Sun	GURPS	3
GURPS Ogre	GURPS	3
GURPS Old West	GURPS	3
GURPS Operation Endgame	GURPS	3
GURPS Orcslayer	GURPS	3
GURPS Places of Mystery	GURPS	3
GURPS Planet Krishna	GURPS	3
GURPS Planet of Adventure	GURPS	3
GURPS Player's Book	GURPS	3
GURPS Powers	GURPS 4e	4
GURPS Powers: Divine Favor	GURPS 4e	4
GURPS Powers: Enhanced Senses	GURPS 4e	4
GURPS Powers: The Weird	GURPS 4e	4
GURPS Powers: Totems and Nature Spirits	GURPS 4e	4
GURPS Power-Ups 1: Imbuements	GURPS 4e	4
GURPS Power-Ups 2: Perks	GURPS 4e	4
GURPS Power-Ups 3: Talents	GURPS 4e	4
GURPS Power-Ups 4: Enhancements	GURPS 4e	4
GURPS Power-Ups 5: Impulse Buys	GURPS 4e	4
GURPS Power-Ups 6: Quirks	GURPS 4e	4
GURPS Power-Ups 7: Wildcard Skills	GURPS 4e	4
GURPS Power-Ups 8: Limitations	GURPS 4e	4
GURPS Psionic Campaigns	GURPS 4e	4
GURPS Psionic Powers	GURPS 4e	4
GURPS Psionics	GURPS	3
GURPS Psis	GURPS 4e	4
GURPS Psi-Tech	GURPS 4e	4
GURPS Range Ruler	GURPS 4e	4
GURPS Reign of Steel	GURPS	3
GURPS Reign of Steel: Will to Live	GURPS 4e	4
GURPS Religion	GURPS	3
GURPS Riverworld	GURPS	3
GURPS Robin Hood	GURPS	3
GURPS Robots	GURPS	3
GURPS Rogues	GURPS	3
GURPS Russia	GURPS	3
GURPS Scarlet Pimpernel	GURPS	3
GURPS School of Hard Knocks	GURPS	3
GURPS Screampunk	GURPS	3
GURPS SEALs in Vietnam	GURPS 4e	4
GURPS Shapeshifters	GURPS	3
GURPS Social Engineering	GURPS 4e	4
GURPS Social Engineering: Back to School	GURPS 4e	4
GURPS Social Engineering: Keeping in Contact	GURPS 4e	4
GURPS Social Engineering: Pulling Rank	GURPS 4e	4
GURPS Sorcery: Protection and Warning Spells	GURPS 4e	4
GURPS Space	GURPS 4e	4
GURPS Space Adventures	GURPS	3
GURPS Space Atlas – The Old Frontiers Sector	GURPS	3
GURPS Space Atlas 2 – The Corporate Worlds	GURPS	3
GURPS Space Atlas 3 – The Confederacy	GURPS	3
GURPS Space Atlas 4 – Phoenix and Saga Sectors	GURPS	3
GURPS Space Bestiary	GURPS	3
GURPS Spaceships	GURPS 4e	4
"GURPS Spaceships 2: Traders, Liners, and Transports"	GURPS 4e	4
GURPS Spaceships 3: Warships and Space Pirates	GURPS 4e	4
"GURPS Spaceships 4: Fighters, Carriers, and Mecha"	GURPS 4e	4
GURPS Spaceships 5: Exploration and Colony Spacecraft	GURPS 4e	4
GURPS Spaceships 6: Mining and Industrial Spacecraft	GURPS 4e	4
GURPS Spaceships 7: Divergent and Paranormal Tech	GURPS 4e	4
GURPS Spaceships 8: Transhuman Spacecraft	GURPS 4e	4
GURPS Special Ops	GURPS	3
GURPS Spirits	GURPS	3
GURPS Stardemon	GURPS	3
GURPS Steampunk	GURPS	3
GURPS Steampunk 1: Settings and Style	GURPS 4e	4
GURPS Steampunk 2: Steam and Shellfire	GURPS 4e	4
GURPS Steampunk 3: Soldiers and Scientists	GURPS 4e	4
GURPS Steam-Tech	GURPS	3
GURPS Super Scum	GURPS	3
GURPS Supers	GURPS 4e	4
GURPS Supers Adventures	GURPS	3
GURPS Supertemps	GURPS	3
GURPS Supporting Cast	GURPS	3
GURPS Supporting Cast: Age of Sail Pirate Crew	GURPS 4e	4
GURPS Swashbucklers	GURPS	3
GURPS SWAT	GURPS	3
GURPS Tactical Shooting	GURPS 4e	4
GURPS Tales of the Solar Patrol	GURPS 4e	4
GURPS Technomancer	GURPS	3
GURPS Template Toolkit 1: Characters	GURPS 4e	4
GURPS Template Toolkit 2: Races	GURPS 4e	4
GURPS Terradyne	GURPS	3
GURPS Thaumatology	GURPS 4e	4
GURPS Thaumatology: Age of Gold	GURPS 4e	4
GURPS Thaumatology: Alchemical Baroque	GURPS 4e	4
GURPS Thaumatology: Chinese Elemental Powers	GURPS 4e	4
GURPS Thaumatology: Magical Styles	GURPS 4e	4
GURPS Thaumatology: Ritual Path Magic	GURPS 4e	4
GURPS Thaumatology: Sorcery	GURPS 4e	4
GURPS Thaumatology: Urban Magics	GURPS 4e	4
GURPS The Old Stone Fort	GURPS	3
GURPS The Prisoner	GURPS	3
GURPS Time Travel	GURPS	3
GURPS Time Travel Adventures	GURPS	3
GURPS Timeline	GURPS	3
GURPS Traveller	GURPS Traveller	3
GURPS Traveller Interstellar Wars	GURPS Traveller	3
GURPS Traveller Interstellar Wars Combat Counters	GURPS Traveller	3
GURPS Traveller: Alien Races 1	GURPS Traveller	3
GURPS Traveller: Alien Races 2	GURPS Traveller	3
GURPS Traveller: Alien Races 3	GURPS Traveller	3
GURPS Traveller: Alien Races 4	GURPS Traveller	3
GURPS Traveller: Behind the Claw	GURPS Traveller	3
GURPS Traveller: Droyne Coyns	GURPS Traveller	3
GURPS Traveller: Far Trader	GURPS Traveller	3
GURPS Traveller: First In	GURPS Traveller	3
GURPS Traveller: Ground Forces	GURPS Traveller	3
GURPS Traveller: Heroes 1 – Bounty Hunters	GURPS Traveller	3
GURPS Traveller: Humaniti	GURPS Traveller	3
GURPS Traveller: Interstellar Wars	GURPS Traveller	3
GURPS Traveller: Modular Cutter	GURPS Traveller	3
GURPS Traveller: Nobles	GURPS Traveller	3
GURPS Traveller: Planetary Survey 1 – Kamsii	GURPS Traveller	3
GURPS Traveller: Planetary Survey 2 – Denuli	GURPS Traveller	3
GURPS Traveller: Planetary Survey 3 – Granicus	GURPS Traveller	3
GURPS Traveller: Planetary Survey 4 – Glisten	GURPS Traveller	3
GURPS Traveller: Planetary Survey 5 – Tobibak	GURPS Traveller	3
GURPS Traveller: Planetary Survey 6 – Darkmoon	GURPS Traveller	3
GURPS Traveller: Psionics Institutes	GURPS Traveller	3
GURPS Traveller: Rim of Fire	GURPS Traveller	3
GURPS Traveller: Star Mercs	GURPS Traveller	3
GURPS Traveller: Starports	GURPS Traveller	3
GURPS Traveller: Starships	GURPS Traveller	3
GURPS Traveller: Sword Worlds	GURPS Traveller	3
GURPS Tredroy	GURPS	3
GURPS Ultra-Lite	GURPS 4e	4
GURPS Ultra-Tech	GURPS 4e	4
GURPS Ultra-Tech	GURPS	3
GURPS Ultra-Tech 2	GURPS	3
GURPS Ultra-Tech: Weapon Tables	GURPS 4e	4
GURPS Undead	GURPS	3
GURPS Underground Adventures	GURPS 4e	4
GURPS Unnight	GURPS	3
GURPS Up Harzburk!	GURPS	3
GURPS Update	GURPS 4e	4
GURPS Uplift	GURPS	3
GURPS Vampire Companion	GURPS	3
GURPS Vampire: The Masquerade	GURPS	3
GURPS Vehicles	GURPS	3
GURPS Vehicles Expansion 1	GURPS	3
GURPS Vehicles Expansion 2	GURPS	3
GURPS Vehicles Lite	GURPS	3
GURPS Vehicles: Steampunk Conveyances	GURPS 4e	4
GURPS Vikings	GURPS	3
GURPS Villains	GURPS	3
GURPS Voodoo	GURPS	3
GURPS War Against The Chtorr	GURPS	3
GURPS Warehouse 23	GURPS	3
GURPS Warriors	GURPS	3
GURPS Werewolf: The Apocalypse	GURPS	3
GURPS Who's Who	GURPS	3
GURPS Who's Who 2	GURPS	3
GURPS Wild Cards	GURPS	3
GURPS Witch World	GURPS	3
GURPS Wizards	GURPS	3
GURPS WWII	GURPS WWII	3
GURPS WWII Core Rulebook	GURPS WWII	3
GURPS WWII: All the King's Men	GURPS WWII	3
GURPS WWII: Dogfaces	GURPS WWII	3
GURPS WWII: Doomed White Eagle	GURPS WWII	3
GURPS WWII: Frozen Hell	GURPS WWII	3
GURPS WWII: Grim Legions	GURPS WWII	3
GURPS WWII: Hand of Steel	GURPS WWII	3
GURPS WWII: Iron Cross	GURPS WWII	3
GURPS WWII: Leyte Gulf	GURPS WWII	3
GURPS WWII: Michael's Army	GURPS WWII	3
GURPS WWII: Motor Pool	GURPS WWII	3
GURPS WWII: Red Tide	GURPS WWII	3
GURPS WWII: Return to Honor	GURPS WWII	3
GURPS WWII: Their Finest Hour	GURPS WWII	3
GURPS WWII: Weird War II	GURPS WWII	3
GURPS Y2K	GURPS	3
GURPS Zombies	GURPS 4e	4
GURPS Zombies: Day One	GURPS 4e	4
GURPS Zombietown U.S.A.	GURPS	3
Hall of Judgment (PDF)	GURPS 4e	4
Hellboy Sourcebook and Roleplaying Game	GURPS	3
How to Be a GURPS GM	GURPS 4e	4
It's Not Just a Game	GURPS	3
Large Robot	GURPS	3
Lost Inheritance	GURPS	3
Man to Man	GURPS	3
Mordag's Little Finger	GURPS	3
Pyramid #3/1: Tools of the Trade – Wizards	GURPS 4e	4
Pyramid #3/10: Crime and Grime	GURPS 4e	4
Pyramid #3/100: Pyramid Secrets	GURPS 4e	4
Pyramid #3/101: Humor	GURPS 4e	4
Pyramid #3/102: Epic	GURPS 4e	4
Pyramid #3/103: Setbacks	GURPS 4e	4
Pyramid #3/104: Dungeon Fantasy Roleplaying Game	GURPS 4e	4
Pyramid #3/105: Cinematic Magic	GURPS 4e	4
Pyramid #3/106: Dungeon Fantasy Roleplaying Game II	GURPS 4e	4
Pyramid #3/107: Monster Hunters III	GURPS 4e	4
Pyramid #3/108: Dungeon Fantasy Roleplaying Game III	GURPS 4e	4
Pyramid #3/109: Thaumatology V	GURPS 4e	4
Pyramid #3/11: Cinematic Locations	GURPS 4e	4
Pyramid #3/110: Deep Space	GURPS 4e	4
Pyramid #3/111: Combat II	GURPS 4e	4
Pyramid #3/112: Action II	GURPS 4e	4
Pyramid #3/113: Dungeon Fantasies	GURPS 4e	4
Pyramid #3/114: Mind Over Magic	GURPS 4e	4
Pyramid #3/115: Technomancer	GURPS 4e	4
Pyramid #3/116: Locations	GURPS 4e	4
Pyramid #3/117: Hot Spots	GURPS 4e	4
Pyramid #3/118: Dungeon Trips	GURPS 4e	4
Pyramid #3/119: After the End II	GURPS 4e	4
Pyramid #3/12: Tech and Toys	GURPS 4e	4
Pyramid #3/120: Alternate GURPS V	GURPS 4e	4
Pyramid #3/121: Travels and Tribulations	GURPS 4e	4
Pyramid #3/122: All Good Things	GURPS 4e	4
Pyramid #3/13: Thaumatology	GURPS 4e	4
Pyramid #3/14: Martial Arts	GURPS 4e	4
Pyramid #3/15: Transhuman Space	GURPS 4e	4
Pyramid #3/16: Historical Exploration	GURPS 4e	4
Pyramid #3/17: Modern Exploration	GURPS 4e	4
Pyramid #3/18: Space Exploration	GURPS 4e	4
Pyramid #3/19: Tools of the Trade – Clerics	GURPS 4e	4
Pyramid #3/2: Looks Like a Job for . . . Superheroes	GURPS 4e	4
Pyramid #3/20: Infinite Worlds	GURPS 4e	4
Pyramid #3/21: Cyberpunk	GURPS 4e	4
Pyramid #3/22: Banestorm	GURPS 4e	4
Pyramid #3/23: Action Adventures	GURPS 4e	4
Pyramid #3/24: Bio-Tech	GURPS 4e	4
Pyramid #3/25: Epic Magic	GURPS 4e	4
Pyramid #3/26: Underwater Adventures	GURPS 4e	4
Pyramid #3/27: Monsters in Space	GURPS 4e	4
Pyramid #3/28: Thaumatology II	GURPS 4e	4
Pyramid #3/29: Psionics	GURPS 4e	4
Pyramid #3/3: Venturing Into the Badlands: Post-Apocalypse	GURPS 4e	4
Pyramid #3/30: Spaceships	GURPS 4e	4
Pyramid #3/31: Monster Hunters	GURPS 4e	4
Pyramid #3/32: Fears of Days Past	GURPS 4e	4
Pyramid #3/33: Low-Tech	GURPS 4e	4
Pyramid #3/34: Alternate GURPS	GURPS 4e	4
Pyramid #3/35: Aliens	GURPS 4e	4
Pyramid #3/36: Dungeon Fantasy	GURPS 4e	4
Pyramid #3/37: Tech and Toys II	GURPS 4e	4
Pyramid #3/38: The Power of Myth	GURPS 4e	4
Pyramid #3/39: Steampunk	GURPS 4e	4
Pyramid #3/4: Magic on the Battlefield	GURPS 4e	4
Pyramid #3/40: Vehicles	GURPS 4e	4
Pyramid #3/41: Fantasy World-Building	GURPS 4e	4
Pyramid #3/42: Noir	GURPS 4e	4
Pyramid #3/43: Thaumatology III	GURPS 4e	4
Pyramid #3/44: Alternate GURPS II	GURPS 4e	4
Pyramid #3/45: Monsters	GURPS 4e	4
Pyramid #3/46: Weird Science	GURPS 4e	4
Pyramid #3/47: The Rogue's Life	GURPS 4e	4
Pyramid #3/48: Secret Magic	GURPS 4e	4
Pyramid #3/49: World-Hopping	GURPS 4e	4
Pyramid #3/5: Horror & Spies	GURPS 4e	4
Pyramid #3/50: Dungeon Fantasy II	GURPS 4e	4
Pyramid #3/51: Tech and Toys III	GURPS 4e	4
Pyramid #3/52: Low-Tech II	GURPS 4e	4
Pyramid #3/53: Action	GURPS 4e	4
Pyramid #3/54: Social Engineering	GURPS 4e	4
Pyramid #3/55: Military Sci-Fi	GURPS 4e	4
Pyramid #3/56: Prehistory	GURPS 4e	4
Pyramid #3/57: Gunplay	GURPS 4e	4
Pyramid #3/58: Urban Fantasy II	GURPS 4e	4
Pyramid #3/59: Conspiracies	GURPS 4e	4
Pyramid #3/6: Space Colony Alpha	GURPS 4e	4
Pyramid #3/60: Dungeon Fantasy III	GURPS 4e	4
Pyramid #3/61: Way of the Warrior	GURPS 4e	4
Pyramid #3/62: Transhuman Space II	GURPS 4e	4
Pyramid #3/63: Infinite Worlds II	GURPS 4e	4
Pyramid #3/64: Pirates and Swashbucklers	GURPS 4e	4
Pyramid #3/65: Alternate GURPS III	GURPS 4e	4
Pyramid #3/66: The Laws of Magic	GURPS 4e	4
Pyramid #3/67: Tools of the Trade – Villains	GURPS 4e	4
Pyramid #3/68: Natural Magic	GURPS 4e	4
Pyramid #3/69: Psionics II	GURPS 4e	4
Pyramid #3/7: Urban Fantasy	GURPS 4e	4
Pyramid #3/70: Fourth Edition Festival	GURPS 4e	4
Pyramid #3/71: Spaceships II	GURPS 4e	4
Pyramid #3/72: Alternate Dungeons	GURPS 4e	4
Pyramid #3/73: Monster Hunters II	GURPS 4e	4
Pyramid #3/74: Wild West	GURPS 4e	4
Pyramid #3/75: Hero's Jackpot	GURPS 4e	4
Pyramid #3/76: Dungeon Fantasy IV	GURPS 4e	4
Pyramid #3/77: Combat	GURPS 4e	4
Pyramid #3/78: Unleash Your Soul	GURPS 4e	4
Pyramid #3/79: Space Atlas	GURPS 4e	4
Pyramid #3/8: Cliffhangers	GURPS 4e	4
Pyramid #3/80: Fantasy Threats	GURPS 4e	4
Pyramid #3/81: Horrific Creations	GURPS 4e	4
Pyramid #3/82: Magical Creations	GURPS 4e	4
Pyramid #3/83: Alternate GURPS IV	GURPS 4e	4
Pyramid #3/84: Perspectives	GURPS 4e	4
Pyramid #3/85: Cutting Edge	GURPS 4e	4
Pyramid #3/86: Organizations	GURPS 4e	4
Pyramid #3/87: Low-Tech III	GURPS 4e	4
Pyramid #3/88: The End Is Nigh	GURPS 4e	4
Pyramid #3/89: Alternate Dungeons II	GURPS 4e	4
Pyramid #3/9: Space Opera	GURPS 4e	4
Pyramid #3/90: After the End	GURPS 4e	4
Pyramid #3/91: Thaumatology IV	GURPS 4e	4
Pyramid #3/92: Zombies	GURPS 4e	4
Pyramid #3/93: Cops and Lawyers	GURPS 4e	4
Pyramid #3/94: Spaceships III	GURPS 4e	4
Pyramid #3/95: Overland Adventures	GURPS 4e	4
Pyramid #3/96: Tech and Toys IV	GURPS 4e	4
Pyramid #3/97: Strange Powers	GURPS 4e	4
Pyramid #3/98: Welcome to Dungeon Fantasy	GURPS 4e	4
Pyramid #3/99: Death and Beyond	GURPS 4e	4
Pyramid: Dungeon Fantasy Collected	GURPS 4e	4
Rescue Mission	GURPS	3
Roleplayer #1	GURPS	3
Roleplayer #10	GURPS	3
Roleplayer #11	GURPS	3
Roleplayer #12	GURPS	3
Roleplayer #13	GURPS	3
Roleplayer #14	GURPS	3
Roleplayer #15	GURPS	3
Roleplayer #16	GURPS	3
Roleplayer #17	GURPS	3
